段階	検証ID	検証内容	操作/前提条件	期待値	スクショファイル名	画面	確認ポイント	実際の値	判定	計算根拠
層0:前提条件設定	E-0	新規賃料設定の作成	賃料体系:段階別歩合/条件選択:合算(固定賃料+歩合額)/段階数:3段階/固定賃料¥100,000/段階1:0〜¥2,000,000→5%/段階2:¥2,000,001〜¥4,000,000→10%/段階3:¥4,000,001〜上限なし→15%/最低保証¥450,000(ON)/売上歩合対象率80%(ON)/適用開始日2026-05-01	「賃料設定を更新しました」+計算式表示が正しい	E-0_賃料設定.png	地代家賃設定画面	設定保存完了+賃料設定一覧に行追加。計算式:歩合対象売上=売上×80%/賃料=固定¥100,000+各段階歩合合計(最低保証¥450,000)		未検証	歩合対象売上=売上×80%。段階1:0〜200万→5%/段階2:200万〜400万→10%/段階3:400万〜→15%。合算=固定+歩合合計。MAX(合算,最低保証450,000)
層0:前提条件設定	E-1	5月の月次予算設定作成	客単価¥5,000/FD仕入費率30%/PA人件費率20%/客数1000	売上予算¥5,000,000	E-1_月次予算設定5月.png	月次予算設定(5月)	売上予算と変動費率		未検証	売上=5,000×1,000=5,000,000
層0:前提条件設定	E-2	シミュレーション確認	月額売上予算¥5,000,000を入力	シミュレーション金額¥450,000	E-2_シミュレーション.png	賃料設定シミュレーション	計算額の確認		未検証	歩合対象売上=5,000,000×80%=4,000,000/段階1:2,000,000×5%=100,000/段階2:2,000,000×10%=200,000/段階3:0(対象売上4,000,000で段階3に未到達)/歩合合計300,000/合算100,000+300,000=400,000/MAX(400,000,450,000)=450,000(最低保証適用)
層1:親設定の計算と全画面反映	F-1	年間予算一覧(予算構成)	E-0/E-1設定後	5月:地代家賃¥450,000/4月:旧設定維持	F-1_年間予算一覧.png	年間予算一覧(予算構成)	5月の地代家賃が新設定の計算額か/4月との切替が正しいか		未検証	5月=新設定DEFAULT¥450,000(最低保証適用)。4月=旧設定維持
層1:親設定の計算と全画面反映	F-2	月次予算設定(5月)	E-0/E-1設定後	予算構成の地代家賃=¥450,000	F-2_月次予算設定5月.png	月次予算設定(5月)	地代家賃が予算構成に含まれているか		未検証	予算のみの画面。地代家賃¥450,000が予算構成に正しく含まれるか
層1:親設定の計算と全画面反映	F-3	年間予実対比(5月)	E-0/E-1設定後	5月:予算¥450,000=実績¥450,000	F-3_年間予実対比.png	年間予実対比(地代家賃行)	5月の予算=実績が成立するか(未来月は月額ベース)		未検証	地代家賃は予算=実績(仕様)。未来月のため月額¥450,000が予算・実績に入る
層1:親設定の計算と全画面反映	F-4	予実対比(期間)	E-0/E-1設定後	5月が未来月のため表示不可/または予算=実績=¥450,000×日割り率	F-4_予実対比5月.png	予実対比(5月)	未来月の予実対比が表示されるか		未検証	5月は未来月。表示される場合は日割り計算の確認が必要
層1:親設定の計算と全画面反映	F-5	月次集計(5月)	E-0/E-1設定後	固定費予算に地代家賃¥450,000が含まれる	F-5_月次集計5月.png	月次集計(5月)	固定費予算(グレー)の値		未検証	未来月の月次集計が表示されるか。表示される場合は固定費予算に¥450,000含む
層1:親設定の計算と全画面反映	F-6	4月への影響なし	E-0設定後	4月の地代家賃は旧設定のまま変化なし	F-6_年間予算一覧4月.png	年間予算一覧(予算構成)	4月の値が新設定の影響を受けていないか		未検証	4月は旧設定(適用開始日03/01)のDEFAULT¥800,000 or 単月設定¥450,000が維持
層2:単月設定の全画面反映	G-1	5月の単月設定	5月を¥300,000に単月設定	デフォルト¥450,000/入力¥300,000/「デフォルトから¥150,000減少」	G-1_単月設定5月.png	単月地代家賃設定モーダル(5月)	保存後の値と差額表示		未検証	450,000-300,000=150,000
