段階	検証ID	賃料パターン	入力値	期待値	スクショファイル名	画面	確認ポイント	実際の値	判定	計算根拠
層1	L1-1	固定賃料	固定180532/売上10000000	180532	L1-1_シミュレーション.png	賃料設定シミュレーション	シミュレーション金額		未検証	賃料=固定賃料
層1	L1-2a	変動賃料合算(オプションなし)	固定180532/歩合13.75%/売上10000000	1555532	L1-2a_シミュレーション.png	賃料設定シミュレーション	シミュレーション金額		未検証	180532+10000000x13.75%
層1	L1-2b	変動賃料合算(閾値単体)	固定180532/歩合13.75%/閾値3000000/売上10000000	1143032	L1-2b_シミュレーション.png	賃料設定シミュレーション	シミュレーション金額		未検証	180532+(10000000-3000000)x13.75%
層1	L1-2c	変動賃料合算(全オプションON)	固定180532/歩合13.75%/対象率50%/閾値3000000/最低保証1200000/売上10000000	1200000	L1-2c_シミュレーション.png	賃料設定シミュレーション	シミュレーション金額		未検証	180532+MAX(5000000-3000000,0)x13.75%=455532 MAX(455532,1200000)=1200000
層1	L1-3a	変動賃料最大値選択(オプションなし)	固定180532/歩合13.75%/売上10000000	1375000	L1-3a_シミュレーション.png	賃料設定シミュレーション	シミュレーション金額		未検証	MAX(180532, 10000000x13.75%)=MAX(180532, 1375000)
層1	L1-3b	変動賃料最大値選択(全オプションON)	固定180532/歩合13.75%/対象率50%/閾値3000000/最低保証800000/売上10000000	800000	L1-3b_シミュレーション.png	賃料設定シミュレーション	シミュレーション金額		未検証	MAX(MAX(MAX(5000000-3000000,0)x13.75%,180532),800000)=800000
層1	L1-4	段階別歩合合算(全オプションON)	固定180532/段階5%8%10%(3M7M)/対象率50%/最低保証1200000/売上10000000	1200000	L1-4_シミュレーション.png	賃料設定シミュレーション	シミュレーション金額		未検証	対象売上500万 歩合310000 合算490532 MAX(490532,1200000)=1200000
層1	L1-5	段階別歩合最大値選択(全オプションON)	固定180532/段階5%8%10%(3M7M)/対象率50%/最低保証800000/売上10000000	800000	L1-5_シミュレーション.png	賃料設定シミュレーション	シミュレーション金額		未検証	対象売上500万 歩合310000 MAX(180532,310000)=310000 MAX(310000,800000)=800000
層2	L2-0	固定賃料	L1-1の設定を保存(適用開始日2026-03-01)	3月以降全月180532	L2-0_予算構成.png	予算構成/年間予実/予実対比/月次集計/単月設定	3月以降の地代家賃額	予算構成180532/年間予実180532/予実対比予算101098(日割56%)実績180532/月次集計固定費予算2224485/単月デフォルト180532	OK	固定賃料は全月同額 予実対比は期間03/01-03/18の日割り
層2	L2-1	段階別歩合最大値選択	L1-5の設定を保存(適用開始日2026-03-01)	賃料設定を更新しました	L2-1_賃料設定保存.png	賃料設定	保存完了メッセージ	賃料設定を更新しました表示 段階別歩合/最大値選択/3段階/固定180532/最低保証800000/対象率50%	OK	保存完了メッセージ+全設定値を確認
